socioeconomic_group,region,state,urban_rural,school_network,count,mean,median,std
Muito alto,Centro-Oeste,MS,Rural,Pública,9,243.45843005465153,247.60298663395997,14.496974793688045
Muito alto,Centro-Oeste,MS,Urbana,Privada,75,295.86076696925346,296.49806482758606,22.035581839679043
Muito alto,Centro-Oeste,MS,Urbana,Pública,100,258.7280445907994,257.592309013012,16.23098327157259
Muito alto,Centro-Oeste,MT,Rural,Pública,4,263.0467703275007,257.60270216666663,20.32594514197334
Muito alto,Centro-Oeste,MT,Urbana,Privada,71,286.155620556819,285.5083277647058,20.934922563734858
Muito alto,Centro-Oeste,MT,Urbana,Pública,56,261.5753587398234,261.32097005468927,17.93296910645638
Muito alto,Nordeste,AL,Rural,Privada,2,297.5253768333333,297.5253768333333,2.348309869899636
Muito alto,Nordeste,AL,Urbana,Privada,50,279.7933788855175,281.5409284242082,25.33024983090808
Muito alto,Nordeste,AL,Urbana,Pública,1,322.78100102442903,322.78100102442903,
Muito alto,Nordeste,BA,Rural,Pública,1,231.91735849999998,231.91735849999998,
Muito alto,Nordeste,BA,Urbana,Privada,20,292.0239639000678,298.9617277907901,25.179746206136134
Muito alto,Nordeste,BA,Urbana,Pública,10,274.749172605142,277.552267353425,35.96491129813924
Muito alto,Nordeste,CE,Urbana,Privada,27,289.877065129792,286.10162155555554,25.316007049567688
Muito alto,Nordeste,CE,Urbana,Pública,5,331.8829821453746,332.80953520128804,7.154541277859074
Muito alto,Nordeste,MA,Urbana,Privada,38,281.9830566768039,281.48573211363635,25.457254010900296
Muito alto,Nordeste,MA,Urbana,Pública,4,299.2483306310296,304.36934749284933,18.237475630014576
Muito alto,Nordeste,PB,Rural,Privada,1,271.68372355555556,271.68372355555556,
Muito alto,Nordeste,PB,Urbana,Privada,41,285.08168996361866,285.40107925,21.842595155381684
Muito alto,Nordeste,PB,Urbana,Pública,2,248.42973511914846,248.42973511914846,16.12012561789259
Muito alto,Nordeste,PE,Rural,Pública,1,326.1160377631978,326.1160377631978,
Muito alto,Nordeste,PE,Urbana,Privada,27,292.1405145448047,290.4260692173913,20.14087169396176
Muito alto,Nordeste,PE,Urbana,Pública,5,332.40716252168784,334.99885555959116,24.584680621246353
Muito alto,Nordeste,PI,Urbana,Privada,90,298.36706981344656,295.745535282353,22.75329463340716
Muito alto,Nordeste,RN,Urbana,Privada,42,287.6288883662958,286.58063074999995,20.238613902533128
Muito alto,Nordeste,SE,Rural,Privada,2,279.5121841875,279.5121841875,3.519986307193105
Muito alto,Nordeste,SE,Urbana,Privada,44,280.0014887830258,276.718696629386,23.538087875617112
Muito alto,Nordeste,SE,Urbana,Pública,1,266.7735482143941,266.7735482143941,
Muito alto,Norte,AC,Urbana,Privada,12,298.7600061557651,295.666908811828,19.94568792616337
Muito alto,Norte,AC,Urbana,Pública,6,279.841530473757,280.58378734271287,8.601542128230713
Muito alto,Norte,AM,Rural,Privada,1,275.26411174193555,275.26411174193555,
Muito alto,Norte,AM,Urbana,Privada,67,282.5049676613742,277.6432399090908,22.63891001469552
Muito alto,Norte,AM,Urbana,Pública,16,284.24186474187906,277.0167393923942,21.713590125898662
